year,name
2016,"Debashis Ghosh"
2016,"Jayson L. Lusk"
2016,"Kara M. Kockelman"
2016,"Megan S. Paceley"
2016,"Richard Iorio"
2016,"Wendy R. Brewster"
2016,"William J. Crump"
2017,"Aaron Lee M. Daigh"
2017,"Adolfina Koroch"
2017,"Ahamada Zziwa"
2017,"Ai Leon"
2017,"Alexander Tanter"
2017,"Alina Agiurgioaei Boie"
2017,"Alison E. Chavez"
2017,"Aliza R. Wasserman"
2017,"Amalia Piscopo"
2017,"Andrea J. Sharma"
2017,"Andreé Schuler"
2017,"Andrew Barnes"
2017,"Aneth Kayombo"
2017,"Angela M. Leung"
2017,"Ariana Ruiz"
2017,"Ar'Quette Grant"
2017,"Asfahaan Mirza"
2017,"Bing Liu"
2017,"Blanca Zelaya"
2017,"Braeden Van Deynze"
2017,"Brianne Brown"
2017,"Bronwyn K. Brew"
2017,"Bruce E. Young"
2017,"Bryce Stokes"
2017,"C. Robin Buell"
2017,"Carolyn Sinacore"
2017,"Cathy Buntting"
2017,"Charlie M. Shackleton"
2017,"Chen Zhao"
2017,"Chris Creagh"
2017,"Christine E. Blake"
2017,"Christopher Marquardt"
2017,"Chumki Banik"
2017,"Claire G. Boryan"
2017,"Clare Hughes"
2017,"Claudia J. Heath"
2017,"Claudia W. Scott"
2017,"Craig R. Grau"
2017,"David A. Mortensen"
2017,"Dean Laslett"
2017,"Deborah D. Dougherty"
2017,"Deborah L. McBride"
2017,"Deepthi E. Kolady"
2017,"Denise Pike"
2017,"Diana Cervantes"
2017,"Dianne Neumark-Sztainer"
2017,"Donna Mitchell"
2017,"Donna Vorhees"
2017,"Dylan Jones"
2017,"Ed Bissel"
2017,"Emily Kachergis"
2017,"Emma J. Rosi"
2017,"Eric A. DeVuyst"
2017,"Erica F. Stuber"
2017,"Erika Cristina G. Aguieiras"
1995,"L. Gary Hart"
1997,"Barry A. Miller"
1998,"Charles M. Tolbert"
1999,"Kenneth Saag"
1999,"Loretta Pecchioni"
2000,"Bill Innes"
2003,"Barbara E. Ainsworth"
2003,"Elaine W. Gunter"
2003,"Michael Irwin"
2003,"Terry Ast"
2004,"Mary Jo Katras"
2005,"Charles T. McElmurray"
2005,"Thomas W. Crawford"
2006,"Carl G. Leukefeld"
2006,"Dennis D. Lenaway"
2006,"Eugene H. Makela"
2007,"Michael D. Irwin"
2007,"Peter F. Orazem"
2008,"Catherine W. Barber"
2008,"Jennifer D. Parker"
2009,"Amy E. Wallace"
2009,"Cathy L. Campbell"
2009,"Donald R. Hoover"
2009,"Emily Hauenstein"
2009,"Ishan Canty Williams"
2009,"John C. Leatherman"
2009,"Julia F. Kuder"
2009,"Stephanie Guerlain"
2009,"Timothy S. Killian"
2009,"Wesley L. James"
2010,"Jeffrey Boase"
2010,"Ken Uchino"
2010,"Linda Williams Pickle"
2010,"Mario Schootman"
2010,"Robert V. Gibbons"
2010,"Victor J. Schoenbach"
2011,"Colin J. Forsyth"
2011,"Edward A. Pohl"
2011,"George R. Bergus"
2011,"John Neff"
2011,"Kristi Swanson"
2011,"LaDonna Thompson"
2011,"Meg M. Comins"
2011,"Robert A. Bacon"
2011,"Robert Lucio"
2012,null
2012,"Brian A. Lawton"
2012,"Eugene J. Lengerich"
2012,"Jonathan Borak"
2012,"Mark S. Kaplan"
2012,"Michael Spears"
2012,"Rosa D. Darling"
2012,"Scott A. Lorch"
2012,"Talar W. Markossian"
2013,"Ann M. Geiger"
2013,"Emmeline Chuang"
2013,"Mark J. Pletcher"
2013,"Michael Watson"
2013,"Nancy J. Miller"
2013,"Richard Payne"
2013,"Won Choi"
2013,"Yevgeniya Gokun"
2014,"Kristin N. Ray"
2014,"Patricia R. Freeman"
2014,"Thomas W. Crawford"
2014,"Traci M. Blonquist"
2014,"William J. Brady"
2015,"Blake Boursaw"
2015,"Cathy Lester"
2015,"Francisco Javier Romero-Durán"
2015,"John V. Campo"
2015,"Lisa M. Shannon"
2015,"Maria R. Baer"
2015,"Mary Jo Katras"
2015,"Nengliang Yao"
2015,"Rosalie L. Pacula"
2015,"Yong-Fang Kuo"
